id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23587256,Lisboa Vila Hermosa perfecta para familias,54972323,Rui,Cascais,So Domingos de Rana,38.70028,-9.35316,Entire home/apt,226,4,55,2024-08-28,0.70,1,325,1,81253/AL
23587725,TERRACE WITH RIVER VIEW *1BD APT*,176228709,Marco,Lisboa,So Vicente,38.72026,-9.1247,Entire home/apt,69,2,153,2024-10-30,1.86,1,344,26,65316/AL
23591095,Chiado Mercy I,54254797,Rogacilene,Lisboa,Santa Maria Maior,38.71258,-9.14307,Entire home/apt,159,3,111,2024-11-27,1.37,2,292,28,62128/AL
23592552,Lighthouse Butterfly home - Guest House Ericeira,176391246,Carla,Mafra,Ericeira,38.97378,-9.3972,Entire home/apt,83,3,45,2024-12-13,0.58,1,94,5,65611/AL
23592605,Charming Studio Apartment @ Campolide,116114374,Augusto,Lisboa,Campolide,38.72743,-9.1652,Entire home/apt,70,7,22,2020-07-12,0.28,13,354,0,Exempt
23592894,18th Century Loft,156739255,Pedro,Lisboa,Santa Maria Maior,38.710016,-9.1358,Entire home/apt,120,3,231,2024-11-29,2.84,1,158,54,59126
23592980,Probably The most romantic suite in the world,136947385,Miguel,Cascais,Cascais e Estoril,38.71311,-9.39562,Entire home/apt,150,2,1,2018-08-11,0.01,4,0,0,47689/AL
23593160,Principe Real Sunny,24493655,Teresa,Lisboa,Santo Antnio,38.71723,-9.15341,Entire home/apt,,4,9,2023-04-10,0.24,2,0,0,49891/AL
23594262,Lovely 1 Bedroom in Avenida de Roma,174887261,SousaPassos,Lisboa,Areeiro,38.74273,-9.1382,Private room,29,4,36,2024-11-26,0.57,18,334,18,87866/AL
23596726,Alfama Amazing Loft,5809174,Carla,Lisboa,Santa Maria Maior,38.70957,-9.13138,Entire home/apt,102,3,205,2024-10-31,2.52,3,364,33,0000/AL
23606919,Apartments Center Lisboa 3,46064752,Luis,Lisboa,Arroios,38.72259,-9.13565,Entire home/apt,60,2,41,2024-08-07,0.51,22,361,7,65881/AL
23610705,St° António Central Studio 318798,60929188,Gustavo & Miguel,Lisboa,Santa Maria Maior,38.7114,-9.12823,Entire home/apt,64,3,50,2024-09-10,0.61,5,341,1,65418/AL
23619813,D' Yellow House - Beach and countryside,176717676,Fátima,Lourinh,Lourinh e Atalaia,39.27619,-9.32319,Entire home/apt,177,3,21,2024-08-18,0.26,1,16,2,Exempt
23620180,Wavin'Trees Ericeira ~ Pinhal: Pool & Garden,110457457,Hans,Mafra,Mafra,38.94594,-9.38325,Entire home/apt,,4,8,2023-07-07,0.15,1,1,0,68884/2017
23624211,Center Chiado|  Small Flat clean & safe,2463614,Catarina & Filipe,Lisboa,Misericrdia,38.71381,-9.1423,Entire home/apt,55,4,120,2024-11-20,1.47,4,155,24,57034/AL
23624961,Lapa Charming Riverview Apartment,170759608,Gest2Easy,Lisboa,Estrela,38.70515,-9.1669,Entire home/apt,77,3,156,2024-12-05,1.94,9,135,36,69437/AL
23627126,"Cottage in Sintra Mountain, near beaches",55863040,Paulo,Sintra,Colares,38.79272,-9.45528,Entire home/apt,200,5,12,2024-08-19,0.16,1,109,2,65632/AL
23629454,São Bento - Apartment ( Reg. 65821 / AL ),9162307,Manuel,Lisboa,Campo de Ourique,38.71622,-9.15592,Entire home/apt,50,3,268,2024-12-08,3.26,1,21,67,65821/AL
23629991,Apartment in Casais de São Lourenço (Ericeira),43179986,Erik,Mafra,Encarnao,39.01992,-9.41696,Private room,45,3,8,2024-09-24,0.12,1,365,4,105642/AL
23637299,CASA DO FRIO,144784463,Maria,Lisboa,Arroios,38.72352,-9.14123,Entire home/apt,,6,6,2018-09-16,0.07,1,0,0,65885/AL
23638295,Casas d'Amouraria - Apartamentos com 1 Quarto,11568608,Casas Da Baixa,Lisboa,Santa Maria Maior,38.71737,-9.1332,Entire home/apt,115,2,12,2024-11-19,0.15,8,10,6,28762/AL
23656496,Panoramic terrasse view apartment Ajuda Belem,29915677,Juliette,Lisboa,Ajuda,38.70342,-9.19635,Entire home/apt,80,5,75,2024-08-08,0.94,2,145,15,66233/AL
23662958,LightHouse - Apartamento Estúdio no Sótão,11568608,Casas Da Baixa,Lisboa,Santa Maria Maior,38.70939,-9.13453,Entire home/apt,141,2,0,,,8,3,0,23924/AL
23664531,LightHouse - Apartamento Penthouse,11568608,Casas Da Baixa,Lisboa,Santa Maria Maior,38.70939,-9.13453,Entire home/apt,246,2,1,2024-10-05,0.42,8,8,1,23923/AL
23665410,LightHouse - Apartamentos Estúdio,11568608,Casas Da Baixa,Lisboa,Santa Maria Maior,38.70939,-9.13453,Entire home/apt,122,2,1,2024-11-24,1,8,9,1,23895/AL
23667551,Sea La Vie Petit ( 4 minutes walk to the beach ),41493857,Gonçalo,Cascais,Carcavelos e Parede,38.68131,-9.32989,Entire home/apt,,2,60,2023-09-23,0.76,2,0,0,65936/AL
23676192,Bel appartement en plein cœur de Lisbonne,96828210,Carlos,Lisboa,Misericrdia,38.70861,-9.14648,Entire home/apt,78,1,266,2024-12-08,3.26,3,323,68,65705/AL
23679265,Holiday Cascais Apartment,106937197,Vasco,Cascais,Cascais e Estoril,38.70695,-9.44652,Entire home/apt,116,3,6,2022-05-26,0.07,26,192,0,65959/AL
23680418,Lisbon 7Rooms,71962548,GT House,Lisboa,Areeiro,38.73582,-9.14169,Entire home/apt,249,1,70,2024-11-08,0.86,20,315,7,66553/AL
23689738,Rodriris Holidays Apartement,167325660,Ricardo,Mafra,Ericeira,38.97433,-9.41147,Entire home/apt,,2,11,2020-02-23,0.14,1,0,0,62491/AL
23693085,Charmant studio en plein centre historique,96828210,Carlos,Lisboa,Santa Maria Maior,38.71517,-9.1351,Entire home/apt,60,2,289,2024-12-09,3.52,3,354,50,65707/AL
23699446,♥️ Spacious Loft ♥️ Fall in Love with Graça&Alfama,157141527,Nest@Lisbon,Lisboa,So Vicente,38.71549,-9.1289,Entire home/apt,218,2,183,2024-12-04,2.22,18,341,30,57695/AL
23700027,Beach WareHouse São Pedro do Estoril,44693001,Maria Do Ceu,Cascais,Cascais e Estoril,38.69432,-9.37051,Entire home/apt,80,4,40,2024-11-08,0.58,3,300,15,2646/AL
23701549,Ty Bica,7878686,Gonçalo,Lisboa,Misericrdia,38.70964,-9.14635,Entire home/apt,71,2,337,2024-11-29,4.13,1,152,65,65259/AL
23709172,Perhaps The most vintage suite in family size ...,136947385,Miguel,Cascais,Cascais e Estoril,38.71199,-9.39596,Entire home/apt,350,2,0,,,4,0,0,47689/AL
23712137,Casas da Avó IV - Beach house - Santa Cruz,80977161,José,Torres Vedras,Silveira,39.13464,-9.37909,Entire home/apt,57,2,62,2024-09-24,0.78,4,82,5,51592/AL
23712497,Villa Sintra Carrascal,140057911,Miguel,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.82005,-9.4033,Entire home/apt,180,3,11,2021-08-08,0.14,1,365,0,50573/AL
23726122,Good Room Fantastic Location,9021724,Carla,Lisboa,Santa Maria Maior,38.71298,-9.13677,Private room,65,2,109,2024-10-20,1.33,2,56,29,29990 AL
